x,y,z
-89,240,-1313
-85,-70,-1184
-76,-208,-1239
42,-216,-1098
44,-160,-854
78,40,-702
7,402,-884
44,431,-1095
-40,193,-1280
-54,-195,-1229
-111,-333,-1216
97,-392,-1134
37,-212,-882
140,-70,-720
-3,374,-819
66,480,-1065
-50,263,-1257
-113,-121,-1225
-99,-300,-1179
9,-396,-1130
62,-353,-882
70,-187,-735
-7,263,-747
42,409,-1057
-39,228,-1249
-56,-210,-1218
-111,-300,-1165
31,-421,-1182
44,-271,-921
136,-140,-749
-9,318,-732
81,472,-1007
-93,304,-1210
-46,-130,-1208
-171,-277,-1149
-1,-437,-1149
44,-337,-942
83,-169,-794
9,247,-710
29,488,-1011
-13,333,-1218
-37,3,-1278
-85,-154,-1159
-1,-245,-1188
64,-257,-1005
83,-181,-823
37,165,-681
50,521,-1003
0,382,-1194
-39,1,-1313
-103,-181,-1167
-50,-271,-1200
111,-187,-1009
56,-119,-847
40,126,-681
13,493,-991
23,394,-1196
-25,146,-1307
-97,-162,-1182
-93,-267,-1202
121,-275,-1013
17,-105,-810
83,228,-640
-1,620,-944
23,491,-1124
-40,206,-1253
-126,-121,-1122
-91,-204,-1184
72,-273,-1061
3,-111,-860
70,150,-671
-37,523,-876
44,511,-1114
-46,199,-1298
-128,-107,-1186
-70,-199,-1223
42,-242,-1098
37,-146,-870
109,64,-718
0,493,-874
66,564,-1118
-19,288,-1278
-64,-91,-1204
-83,-162,-1220
70,-232,-1124
23,-89,-864
117,25,-698
9,406,-825
37,511,-1091
-9,263,-1253
-85,-99,-1198
-76,-199,-1212
78,-253,-1161
50,-124,-882
134,11,-696
1,363,-771
56,507,-1050
-52,333,-1233
-39,-66,-1216
-158,-220,-1190
40,-396,-1169
48,-277,-894
107,-99,-739
23,329,-737
44,571,-1061
-27,363,-1249
-60,-56,-1268
-103,-214,-1190
-35,-339,-1184
101,-304,-948
76,-177,-798
17,203,-722
68,486,-1042
-44,308,-1202
0,-113,-1274
-138,-242,-1202
19,-331,-1179
74,-195,-946
76,-152,-808
44,148,-712
13,497,-1003
-15,382,-1180
-29,23,-1266
-134,-245,-1175
-46,-402,-1200
39,-357,-974
62,-245,-839
31,81,-706
7,439,-958
5,357,-1155
-23,50,-1315
-111,-191,-1173
-64,-335,-1192
95,-253,-1044
35,-107,-882
58,148,-655
-3,493,-905
7,333,-1128
-62,76,-1305
-128,-154,-1151
-103,-279,-1190
40,-353,-1044
13,-234,-868
54,93,-671
1,460,-901
27,509,-1104
-1,134,-1301
-142,-89,-1180
-54,-220,-1204
54,-267,-1122
39,-203,-878
89,0,-698
-5,400,-835
68,448,-1108
-60,152,-1303
-81,-113,-1196
-80,-238,-1204
42,-292,-1141
46,-156,-880
105,-17,-720
5,466,-808
101,568,-1071
-60,347,-1262
-48,-52,-1186
-101,-201,-1202
50,-333,-1138
31,-212,-878
122,-83,-710
3,415,-761
80,577,-1054
-39,386,-1245
-31,-52,-1190
-148,-204,-1180
46,-269,-1188
54,-138,-923
126,15,-735
-9,349,-739
46,464,-1050
-42,292,-1245
-58,-80,-1259
-101,-160,-1196
11,-331,-1208
58,-216,-942
134,-126,-769
17,314,-722
72,609,-1042
-21,472,-1202
-13,52,-1260
-111,-185,-1202
-35,-257,-1204
99,-203,-940
48,-107,-788
56,138,-694
-25,486,-1011
17,363,-1182
-52,50,-1282
-124,-160,-1151
-29,-259,-1210
46,-185,-989
66,-99,-821
23,204,-700
19,511,-960
-17,431,-1161
-37,56,-1294
-140,-148,-1175
-58,-310,-1198
52,-314,-1034
33,-204,-827
54,80,-692
-21,534,-929
37,466,-1122
-99,148,-1313
-95,-156,-1182
-134,-286,-1206
78,-339,-1040
42,-212,-864
60,0,-673
17,454,-880
35,448,-1112
-37,130,-1311
-87,-142,-1188
-91,-308,-1198
95,-345,-1054
17,-204,-862
119,-42,-708
-31,497,-870
83,489,-1106
-85,206,-1298
-64,-212,-1161
-115,-382,-1200
80,-400,-1126
39,-251,-895
121,-91,-730
3,400,-817
76,476,-1087
-21,249,-1292
-31,-107,-1177
-78,-265,-1167
52,-298,-1116
40,-177,-913
117,-35,-745
-31,374,-747
91,415,-1046
-74,259,-1231
-31,-132,-1177
-160,-208,-1167
35,-325,-1163
54,-249,-952
93,-105,-749
15,314,-712
78,536,-1044
-31,316,-1223
-50,-17,-1221
-138,-185,-1186
19,-314,-1206
39,-193,-956
115,-226,-780
5,189,-739
64,462,-1016
-50,406,-1206
-1,89,-1272
-109,-152,-1218
-17,-296,-1206
81,-218,-960
95,-52,-786
17,283,-679
3,540,-981
-21,374,-1194
-58,13,-1278
-144,-179,-1165
-29,-261,-1208
39,-183,-987
95,-93,-788
35,224,-675
13,583,-966
13,482,-1190
-52,144,-1303
-121,-95,-1182
-78,-208,-1188
62,-263,-1016
15,-142,-843
37,80,-689
-39,476,-942
11,407,-1149
-52,124,-1321
-132,-105,-1186
-27,-249,-1231
68,-220,-1065
74,-156,-866
60,113,-673
17,593,-907
52,532,-1124
-33,240,-1288
-74,-220,-1180
-122,-296,-1196
107,-308,-1056
37,-173,-870
93,-3,-692
-5,349,-899
62,454,-1108
-1,275,-1288
-72,-74,-1204
-60,-193,-1196
70,-316,-1116
46,-197,-894
121,-21,-710
0,423,-831
80,448,-1073
-76,206,-1272
-50,-195,-1175
-152,-304,-1210
68,-355,-1147
40,-189,-909
128,-25,-712
7,423,-780
66,548,-1050
-56,273,-1241
-85,-117,-1204
-134,-298,-1190
-9,-347,-1143
48,-296,-901
74,-169,-732
-3,269,-724
72,462,-1048
-54,382,-1220
-9,-64,-1237
-146,-269,-1206
19,-361,-1173
58,-269,-946
115,-54,-763
19,314,-710
42,517,-1038
-29,277,-1204
-48,-152,-1239
-160,-322,-1163
0,-394,-1208
46,-245,-968
122,-140,-796
5,244,-710
58,532,-993
0,417,-1192
-27,58,-1270
-95,-183,-1175
-44,-263,-1200
74,-269,-972
64,-128,-825
27,187,-679
1,486,-946
0,329,-1145
-68,33,-1276
-115,-173,-1161
-54,-218,-1227
62,-244,-1040
40,-140,-849
46,163,-667
-9,540,-935
27,503,-1147
-66,89,-1303
-119,-136,-1159
-48,-286,-1212
54,-333,-1075
46,-222,-868
58,27,-716
1,521,-901
76,538,-1116
-37,267,-1280
-72,-85,-1190
-70,-220,-1249
56,-290,-1098
42,-160,-890
64,56,-655
9,497,-847
48,505,-1091
-48,162,-1284
-83,-134,-1184
-70,-234,-1202
56,-245,-1104
42,-103,-890
119,64,-700
3,447,-810
70,503,-1081
-44,316,-1294
-74,-74,-1202
-140,-187,-1206
58,-322,-1130
31,-261,-882
99,-91,-698
-7,337,-794
58,458,-1087
-42,273,-1280
-58,-97,-1241
-105,-140,-1200
50,-249,-1136
35,-179,-895
117,-117,-724
-13,304,-767
81,499,-1067
-87,380,-1218
-9,-64,-1204
-171,-306,-1165
5,-378,-1141
78,-279,-936
74,-122,-771
58,267,-741
13,540,-1050
23,413,-1188
-29,15,-1253
-122,-175,-1155
1,-359,-1194
52,-333,-970
83,-179,-813
37,204,-712
31,511,-983
-5,386,-1180
-17,-7,-1292
-148,-216,-1177
-1,-316,-1206
66,-212,-1018
91,-80,-843
21,212,-675
13,515,-950
-17,386,-1151
-64,9,-1280
-126,-212,-1182
-97,-324,-1206
52,-320,-1009
52,-160,-823
35,117,-671
13,528,-933
27,429,-1130
-44,115,-1296
-99,-177,-1198
-74,-238,-1220
83,-263,-1052
39,-150,-866
76,48,-669
-15,407,-903
42,413,-1124
-37,99,-1300
-85,-150,-1196
-56,-273,-1212
56,-324,-1073
42,-167,-886
101,56,-700
-15,499,-872
91,509,-1081
-50,265,-1311
-78,-121,-1173
-113,-216,-1194
39,-341,-1118
27,-224,-876
74,-1,-667
-3,435,-815
42,519,-1065
-72,216,-1276
-70,-121,-1202
-119,-158,-1212
50,-230,-1128
37,-175,-884
113,-44,-732
-9,324,-802
64,476,-1056
-54,251,-1264
-80,-81,-1214
-107,-240,-1196
23,-308,-1161
31,-183,-901
128,-93,-745
-7,365,-778
91,564,-1061
-48,384,-1245
-5,-15,-1227
-124,-185,-1202
21,-368,-1190
78,-269,-940
99,-105,-767
27,286,-722
50,528,-1030
-1,376,-1206
-39,-15,-1216
-115,-179,-1163
-3,-302,-1186
50,-204,-974
111,-91,-806
17,292,-692
48,554,-991
-40,402,-1192
-17,-64,-1280
-181,-177,-1198
9,-349,-1198
46,-245,-1009
91,-165,-788
42,167,-704
7,521,-970
9,394,-1165
-37,15,-1294
-130,-177,-1186
-33,-230,-1206
60,-167,-1015
68,-132,-821
5,81,-667
0,447,-936
0,357,-1143
-42,121,-1303
-105,-181,-1188
-87,-322,-1218
85,-341,-1028
48,-148,-872
89,163,-667
5,519,-919
31,447,-1112
-40,107,-1301
-119,-162,-1184
-74,-247,-1208
40,-327,-1079
29,-247,-860
76,-35,-696
-17,404,-874
46,527,-1104
-48,228,-1288
-91,-93,-1190
-87,-240,-1218
33,-257,-1087
42,-115,-886
89,29,-716
-27,435,-835
72,400,-1050
-72,154,-1288
-64,-169,-1198
-107,-269,-1204
46,-294,-1114
52,-144,-888
87,-44,-714
3,407,-771
66,525,-1073
-80,335,-1259
-21,-105,-1200
-165,-257,-1200
40,-345,-1136
54,-224,-931
121,-103,-755
17,312,-776
85,429,-1054
1,290,-1231
0,-99,-1243
-97,-193,-1198
52,-359,-1169
54,-212,-950
146,-54,-730
15,343,-722
52,523,-1022
-52,337,-1200
-44,17,-1218
-150,-195,-1180
-27,-286,-1169
42,-324,-944
87,-154,-790
33,253,-702
50,562,-1018
-9,437,-1173
-17,64,-1278
-128,-195,-1167
0,-257,-1194
81,-257,-997
48,-163,-823
33,146,-687
-13,470,-974
-1,435,-1155
-54,46,-1284
-152,-162,-1173
-29,-292,-1227
40,-234,-1034
78,-136,-819
35,232,-683
9,573,-938
27,491,-1139
-27,95,-1317
-148,-193,-1179
-37,-302,-1214
62,-286,-1046
42,-173,-839
70,83,-679
-1,493,-905
54,503,-1116
-44,189,-1307
-117,-70,-1186
-66,-228,-1198
39,-238,-1056
37,-183,-882
39,95,-694
-9,454,-868
29,435,-1110
-62,136,-1307
-85,-173,-1184
-78,-179,-1216
70,-306,-1110
25,-204,-919
138,-76,-716
-11,398,-870
91,532,-1065
-64,292,-1272
-74,-128,-1175
-126,-253,-1188
27,-339,-1100
17,-214,-897
103,-87,-702
-33,337,-780
83,425,-1040
-68,290,-1239
0,-113,-1216
-126,-253,-1216
66,-361,-1138
80,-208,-950
136,-54,-728
29,351,-765
70,486,-1057
-25,296,-1231
-19,-119,-1225
-130,-292,-1186
9,-407,-1167
81,-281,-958
81,-81,-780
33,308,-739
52,540,-1007
-33,390,-1214
-29,-15,-1260
-124,-142,-1184
-3,-298,-1184
58,-210,-964
111,-165,-792
-3,216,-694
60,470,-972
-5,378,-1177
-21,-64,-1255
-121,-185,-1188
-25,-275,-1194
46,-204,-979
60,-128,-794
17,210,-696
0,542,-966
0,433,-1175
-72,48,-1286
-138,-204,-1182
-64,-300,-1198
44,-300,-1032
66,-173,-843
42,146,-698
46,464,-944
7,447,-1159
-11,80,-1337
-101,-130,-1196
-33,-247,-1212
64,-236,-1044
42,-99,-860
56,121,-681
-31,562,-911
25,439,-1116
-76,119,-1280
-130,-150,-1139
-97,-286,-1216
40,-318,-1071
35,-204,-905
72,95,-696
5,497,-862
54,566,-1089
-31,189,-1305
-70,-122,-1192
-89,-242,-1218
64,-265,-1085
33,-199,-882
89,-40,-708
5,378,-843
31,495,-1059
-40,216,-1290
-97,-72,-1190
-91,-242,-1231
35,-275,-1149
50,-199,-911
107,0,-716
19,427,-800
70,548,-1073
-21,275,-1280
-35,-156,-1200
-121,-298,-1202
66,-380,-1163
56,-195,-936
156,-70,-716
15,363,-755
68,536,-1030
-29,363,-1239
-46,-46,-1227
-163,-171,-1198
21,-325,-1138
54,-244,-936
80,-177,-747
11,284,-741
54,478,-1030
-44,325,-1218
13,-105,-1231
-181,-242,-1198
46,-351,-1182
62,-212,-987
128,-146,-786
19,265,-716
54,525,-979
-39,443,-1180
-29,23,-1243
-171,-220,-1192
-46,-353,-1163
35,-290,-970
52,-195,-794
15,195,-696
23,452,-989
-1,437,-1161
-3,62,-1278
-134,-117,-1184
-17,-251,-1225
85,-251,-1057
74,-193,-858
42,130,-665
33,476,-944
0,429,-1159
-15,31,-1311
-138,-206,-1206
-64,-265,-1212
74,-222,-1046
25,-144,-849
64,167,-702
-23,511,-909
29,528,-1098
-44,167,-1311
-124,-111,-1200
-83,-284,-1212
37,-308,-1067
39,-204,-860
70,33,-677
-5,448,-860
58,489,-1126
-40,238,-1303
-76,-130,-1169
-66,-173,-1220
35,-259,-1073
52,-136,-886
80,29,-694
11,406,-858
25,460,-1079
-52,191,-1280
-105,-148,-1190
-70,-310,-1229
27,-333,-1122
72,-216,-919
103,-17,-741
17,423,-817
81,478,-1077
-27,316,-1274
-31,-68,-1204
-101,-165,-1212
29,-337,-1126
48,-230,-923
124,-83,-706
-27,372,-771
50,493,-1007
-74,281,-1235
-64,-121,-1198
-130,-224,-1198
7,-283,-1161
60,-210,-952
83,-74,-751
19,322,-724
58,546,-1015
-29,417,-1223
-27,-50,-1237
-140,-261,-1198
-3,-435,-1188
85,-329,-962
91,-115,-771
46,273,-691
21,564,-1007
-1,406,-1194
-44,-17,-1259
-130,-128,-1167
-13,-286,-1200
50,-245,-1001
97,-210,-823
17,195,-692
64,470,-981
5,462,-1163
13,-15,-1290
-160,-171,-1190
9,-343,-1198
64,-265,-1011
89,-179,-833
39,240,-708
42,511,-936
-5,509,-1147
-27,78,-1280
-140,-115,-1179
-64,-279,-1194
37,-320,-1048
46,-245,-854
13,50,-673
44,458,-919
5,527,-1126
-9,87,-1300
-134,-134,-1186
-46,-310,-1204
40,-255,-1083
58,-126,-880
48,64,-691
-7,468,-878
42,505,-1067
-52,167,-1294
-101,-124,-1171
-111,-341,-1227
35,-357,-1071
39,-203,-880
54,-21,-689
-7,454,-864
64,528,-1081
-37,269,-1298
-54,-101,-1186
-95,-204,-1223
31,-304,-1128
62,-212,-919
95,-113,-714
17,290,-825
62,468,-1056
-35,253,-1278
-46,-39,-1190
-113,-191,-1212
29,-284,-1128
42,-167,-911
87,-3,-739
1,398,-784
37,540,-1034
-58,220,-1237
-72,-95,-1202
-103,-189,-1196
21,-314,-1161
80,-226,-931
62,-152,-755
33,331,-745
37,560,-1015
-29,429,-1216
-1,-85,-1243
-187,-197,-1200
35,-327,-1159
40,-128,-968
103,-154,-776
3,269,-720
56,396,-972
-42,333,-1196
0,-74,-1241
-144,-146,-1208
3,-382,-1212
52,-214,-991
122,-210,-802
33,255,-702
81,538,-970
-13,443,-1196
27,29,-1266
-162,-158,-1179
1,-316,-1188
56,-261,-1018
62,-177,-829
39,97,-681
-7,552,-925
19,382,-1124
-70,72,-1303
-119,-167,-1179
-74,-230,-1223
56,-191,-1003
58,-162,-851
54,113,-683
0,497,-925
39,427,-1122
-44,119,-1313
-140,-195,-1175
-58,-331,-1225
56,-286,-1057
31,-156,-876
68,97,-681
-1,558,-892
25,530,-1097
-39,173,-1309
-138,-144,-1180
-74,-306,-1231
11,-273,-1083
78,-201,-894
35,7,-698
21,417,-833
9,474,-1089
-3,210,-1305
-103,-99,-1194
-48,-191,-1210
29,-298,-1106
72,-203,-911
95,-21,-718
5,468,-813
44,540,-1048
-40,265,-1280
-83,-136,-1188
-119,-304,-1220
17,-325,-1124
70,-195,-927
72,-101,-732
17,324,-788
62,491,-1063
-42,357,-1257
-5,-97,-1204
-150,-234,-1225
44,-316,-1141
50,-142,-929
128,-74,-745
9,308,-763
48,474,-1009
-39,312,-1202
-37,-80,-1216
-134,-263,-1218
17,-343,-1171
60,-279,-968
101,-128,-771
33,304,-698
50,579,-1007
5,413,-1196
-5,-19,-1260
-132,-251,-1177
1,-339,-1202
76,-263,-999
111,-206,-827
35,201,-691
54,488,-983
1,437,-1171
5,62,-1301
-165,-144,-1194
-11,-257,-1192
52,-216,-985
58,-179,-819
33,228,-702
13,499,-942
-9,482,-1134
-11,5,-1274
-197,-204,-1159
-1,-324,-1204
25,-171,-1048
93,-177,-831
13,191,-696
56,482,-911
-23,591,-1114
-1,121,-1290
-175,-148,-1196
-13,-308,-1221
11,-238,-1063
76,-160,-860
39,40,-704
-23,411,-892
37,413,-1100
-58,199,-1300
-121,-132,-1169
-58,-242,-1241
42,-361,-1110
56,-175,-913
105,89,-648
25,486,-858
66,499,-1087
-42,195,-1307
-64,-124,-1163
-95,-197,-1218
54,-335,-1087
17,-265,-903
103,-95,-722
-17,386,-841
85,558,-1044
-54,337,-1272
-66,-97,-1190
-91,-257,-1231
29,-329,-1126
74,-191,-913
103,-64,-712
9,333,-810
64,474,-1046
-37,286,-1235
-19,-122,-1194
-117,-228,-1223
27,-339,-1153
70,-208,-940
95,-85,-759
25,370,-771
46,591,-1007
-35,388,-1202
-40,-74,-1225
-152,-290,-1198
0,-411,-1169
48,-222,-958
97,-132,-765
23,290,-714
76,476,-1005
-23,423,-1192
29,9,-1223
-165,-148,-1200
31,-339,-1194
37,-240,-1005
128,-162,-788
9,263,-689
46,476,-956
-37,417,-1192
-17,-46,-1257
-177,-206,-1194
-3,-343,-1198
21,-206,-1003
103,-173,-823
13,150,-706
48,460,-944
-9,466,-1136
-7,150,-1288
-171,-107,-1194
-21,-281,-1208
44,-273,-1013
60,-173,-827
40,101,-663
-11,474,-921
13,466,-1124
-54,132,-1290
-134,-183,-1173
-58,-286,-1235
46,-259,-1054
46,-144,-888
70,107,-679
13,517,-907
37,474,-1100
-15,156,-1307
-124,-107,-1177
-44,-320,-1235
27,-349,-1077
83,-286,-911
48,56,-712
37,476,-868
27,597,-1095
-9,201,-1300
-128,-70,-1188
-60,-206,-1214
29,-210,-1116
39,-222,-899
62,-27,-704
11,355,-829
27,540,-1036
-29,218,-1268
-107,-115,-1190
-81,-273,-1202
19,-259,-1134
81,-134,-927
78,-31,-728
7,351,-788
46,521,-1020
-37,366,-1243
-40,-70,-1206
-156,-247,-1223
23,-394,-1139
37,-253,-929
109,-130,-716
-1,345,-778
72,431,-1042
-54,327,-1253
9,-64,-1192
-140,-175,-1214
46,-292,-1169
27,-206,-962
128,-121,-753
5,279,-737
72,499,-985
-44,382,-1212
-5,-33,-1231
-165,-218,-1192
0,-331,-1163
54,-308,-983
95,-150,-812
40,230,-708
46,546,-999
1,454,-1155
-7,48,-1245
-146,-156,-1173
-17,-361,-1212
52,-271,-995
85,-222,-841
15,142,-685
40,484,-970
5,458,-1145
0,83,-1270
-171,-173,-1184
-17,-310,-1210
48,-224,-1042
95,-134,-853
9,212,-687
54,482,-925
-44,480,-1139
13,56,-1268
-187,-154,-1196
-11,-339,-1202
9,-290,-1059
101,-230,-866
37,163,-700
52,488,-882
11,527,-1116
-1,144,-1315
-146,-140,-1206
-60,-210,-1202
37,-210,-1087
52,-138,-888
64,-3,-691
-9,417,-874
31,439,-1087
-54,160,-1309
-93,-163,-1179
-95,-232,-1235
44,-292,-1091
29,-162,-901
115,-37,-708
-9,431,-845
74,550,-1026
-56,316,-1290
-91,-97,-1171
-119,-203,-1216
33,-290,-1106
29,-240,-886
85,-126,-706
0,263,-825
44,523,-1056
-17,341,-1251
-42,-52,-1194
-87,-204,-1210
21,-300,-1141
72,-245,-938
113,-40,-767
27,277,-757
46,491,-1003
-23,294,-1235
-52,-52,-1249
-103,-255,-1202
13,-368,-1179
83,-314,-960
81,-85,-763
42,337,-749
52,630,-1007
-23,396,-1218
3,-62,-1235
-171,-175,-1184
19,-339,-1180
62,-220,-991
99,-212,-769
33,212,-698
54,458,-958
-17,448,-1177
11,-21,-1255
-195,-136,-1179
35,-347,-1179
19,-181,-997
126,-107,-821
-5,247,-724
66,525,-950
-60,407,-1169
-15,23,-1253
-167,-191,-1198
-33,-380,-1214
44,-335,-1040
62,-197,-817
52,144,-687
25,556,-940
11,439,-1157
-25,83,-1300
-134,-80,-1145
-54,-259,-1202
62,-247,-1061
46,-183,-878
44,74,-669
17,480,-901
13,439,-1087
-31,107,-1305
-121,-146,-1186
-83,-300,-1235
46,-288,-1065
64,-169,-895
74,103,-691
29,462,-880
35,554,-1079
-17,201,-1298
-119,-111,-1161
-60,-322,-1223
5,-349,-1116
62,-253,-894
62,-29,-702
7,386,-847
31,599,-1061
-17,318,-1274
-93,-25,-1182
-91,-257,-1257
11,-314,-1118
56,-187,-913
97,3,-716
9,322,-821
31,476,-1050
-27,232,-1253
-70,-74,-1180
-107,-265,-1218
25,-327,-1151
68,-193,-929
97,-42,-720
17,390,-778
62,534,-1044
-68,349,-1229
-9,-81,-1204
-179,-187,-1235
29,-351,-1132
46,-210,-968
107,-222,-763
19,214,-759
74,466,-981
-42,396,-1225
15,-40,-1237
-169,-177,-1229
35,-361,-1153
64,-234,-972
113,-183,-790
17,234,-737
66,603,-950
-21,466,-1184
-9,33,-1225
-160,-222,-1171
-17,-357,-1186
44,-269,-999
91,-201,-813
17,142,-710
50,527,-958
1,445,-1179
-1,128,-1280
-132,-150,-1151
-21,-261,-1179
80,-292,-1038
48,-226,-854
40,156,-694
9,484,-919
17,435,-1124
-35,50,-1286
-150,-144,-1175
-40,-269,-1210
35,-208,-1052
72,-210,-864
33,160,-706
42,509,-884
15,548,-1108
5,95,-1300
-163,-162,-1194
-27,-339,-1202
21,-259,-1097
64,-208,-890
44,46,-694
23,407,-860
13,530,-1079
-44,238,-1296
-130,-42,-1175
-87,-240,-1212
5,-284,-1108
40,-173,-897
78,54,-692
-15,402,-870
56,435,-1071
-35,201,-1292
-83,-122,-1155
-105,-244,-1245
37,-343,-1145
46,-197,-936
124,-39,-712
-7,370,-819
72,489,-1050
-70,345,-1274
-33,21,-1161
-132,-169,-1223
23,-339,-1108
40,-269,-936
83,-97,-739
9,273,-792
40,517,-1003
-27,265,-1235
-21,-52,-1216
-83,-251,-1243
29,-298,-1173
107,-244,-950
101,-122,-739
42,263,-732
44,554,-1013
-17,335,-1206
-27,-50,-1206
-152,-327,-1196
-27,-398,-1175
58,-286,-964
76,-199,-802
33,193,-716
27,458,-968
9,390,-1194
-17,-52,-1274
-199,-206,-1212
0,-443,-1177
35,-284,-1011
89,-331,-798
-9,126,-708
46,341,-954
-68,361,-1179
27,-97,-1249
-224,-222,-1180
5,-398,-1157
-9,-269,-1030
78,-365,-825
-9,29,-706
31,325,-895
-31,343,-1139
-40,-142,-1286
-187,-495,-1190
-83,-665,-1212
33,-614,-1091
68,-505,-897
62,-195,-718
23,195,-917
33,249,-1126
-62,-17,-1319
-146,-316,-1173
-119,-482,-1204
27,-491,-1044
-19,-413,-870
0,-201,-650
-60,140,-851
-1,162,-1052
-68,-203,-1298
-136,-505,-1173
-93,-798,-1227
52,-669,-1120
107,-607,-946
48,-199,-687
64,162,-788
17,265,-1063
-15,-33,-1251
-128,-462,-1190
-138,-601,-1173
-17,-685,-1061
60,-587,-899
39,-386,-716
21,52,-782
68,158,-1046
5,-46,-1274
-33,-486,-1204
-54,-610,-1241
78,-599,-1145
105,-472,-974
119,-329,-735
29,5,-786
64,236,-1013
0,74,-1237
-21,-365,-1204
-138,-585,-1180
15,-677,-1126
97,-540,-970
95,-394,-757
42,37,-755
80,284,-993
11,173,-1218
25,-216,-1235
-126,-413,-1210
21,-488,-1145
56,-499,-974
78,-390,-765
33,0,-726
37,292,-946
-7,189,-1202
9,-290,-1276
-160,-495,-1184
0,-546,-1180
58,-431,-1044
50,-316,-823
35,-33,-708
-9,318,-968
-31,298,-1177
-83,-81,-1296
-218,-253,-1177
-109,-411,-1179
-1,-419,-1024
23,-314,-817
-1,11,-702
-37,382,-936
-25,365,-1153
-111,-81,-1290
-214,-275,-1179
-124,-519,-1204
-31,-394,-1050
37,-441,-853
0,-78,-706
-25,345,-878
-17,409,-1124
-42,50,-1276
-175,-259,-1149
-56,-447,-1179
-15,-386,-1048
37,-392,-886
17,-124,-708
11,160,-882
-3,259,-1098
-25,-31,-1331
-132,-363,-1196
-72,-528,-1233
33,-527,-1104
54,-421,-933
83,-115,-698
-3,191,-858
37,292,-1087
-62,-40,-1307
-105,-345,-1186
-109,-470,-1223
13,-527,-1095
27,-439,-938
85,-363,-712
-21,54,-802
46,142,-1032
-60,17,-1286
-37,-361,-1196
-122,-509,-1235
52,-614,-1116
48,-491,-954
107,-368,-694
9,33,-776
27,128,-1022
-44,-101,-1290
-54,-478,-1212
-136,-601,-1198
15,-640,-1138
80,-650,-974
83,-532,-726
31,-103,-735
52,136,-966
-9,40,-1210
7,-431,-1233
-140,-605,-1182
21,-632,-1122
99,-650,-999
80,-585,-767
46,-308,-741
29,-80,-995
0,-42,-1188
15,-368,-1253
-160,-484,-1190
9,-657,-1153
42,-628,-999
91,-583,-772
27,-154,-716
37,107,-942
-23,87,-1175
-5,-325,-1274
-185,-556,-1188
-185,-595,-1104
160,-501,-1036
-11,-589,-895
95,-85,-653
-117,39,-919
37,361,-1124
-58,-234,-1354
-232,-523,-1118
-17,-482,-1155
-25,-607,-1048
115,-577,-860
-42,-70,-675
56,193,-858
-35,224,-1126
3,-203,-1296
-208,-515,-1157
13,-509,-1180
-29,-439,-1114
115,-447,-911
33,-156,-673
-1,109,-872
40,284,-1134
-62,-76,-1300
-99,-376,-1161
-121,-527,-1223
23,-577,-1097
83,-361,-913
33,-111,-743
-3,234,-894
35,183,-1057
-44,-60,-1278
-111,-286,-1194
-101,-382,-1270
0,-396,-1145
66,-337,-942
33,-169,-691
-7,132,-790
9,216,-1042
-74,72,-1305
-85,-263,-1190
-175,-404,-1208
3,-497,-1102
15,-409,-989
83,-304,-710
-39,97,-788
31,189,-997
-62,99,-1229
-62,-255,-1202
-171,-283,-1243
-19,-458,-1110
46,-521,-958
40,-423,-692
-37,-27,-784
11,230,-1007
-58,154,-1255
-21,-286,-1245
-212,-415,-1180
3,-610,-1139
35,-542,-1032
99,-380,-772
0,-5,-739
27,201,-985
-68,97,-1220
-7,-308,-1249
-218,-425,-1167
-19,-603,-1153
29,-599,-1028
54,-540,-802
3,-105,-724
35,121,-948
-37,124,-1171
1,-320,-1280
-199,-452,-1200
-5,-597,-1167
31,-568,-1046
109,-486,-804
17,-165,-706
62,29,-880
17,68,-1132
62,-355,-1270
-154,-488,-1128
29,-632,-1151
46,-630,-1057
154,-585,-858
50,-294,-679
66,-83,-868
35,50,-1114
42,-290,-1325
-138,-445,-1188
0,-655,-1190
37,-659,-1065
126,-601,-901
46,-261,-722
46,-50,-866
27,66,-1110
7,-251,-1342
-148,-433,-1210
-42,-560,-1229
3,-593,-1116
72,-562,-954
-7,-337,-698
5,-62,-819
-9,142,-1075
-62,-70,-1341
-156,-386,-1198
-117,-558,-1186
-29,-632,-1042
42,-488,-950
9,-228,-696
13,31,-782
-5,87,-1003
-50,-70,-1264
-101,-407,-1194
-121,-468,-1192
-23,-589,-1087
44,-534,-956
52,-304,-671
1,19,-792
0,224,-1007
-39,54,-1260
-66,-363,-1206
-169,-472,-1220
-9,-556,-1124
50,-411,-1022
72,-281,-753
-17,-9,-774
27,167,-999
-39,95,-1251
1,-208,-1239
-183,-333,-1204
23,-523,-1136
37,-466,-999
91,-333,-753
-7,-21,-747
33,206,-966
-40,121,-1223
-1,-281,-1249
-191,-368,-1188
5,-505,-1157
33,-411,-1044
89,-320,-757
13,-70,-720
25,158,-935
-31,183,-1180
-15,-185,-1259
-203,-363,-1180
-9,-540,-1145
27,-468,-1044
97,-384,-821
17,-136,-726
21,89,-903
-17,169,-1167
0,-173,-1313
-201,-345,-1206
-15,-579,-1196
-1,-507,-1071
95,-406,-837
13,-142,-706
9,85,-894
-23,140,-1143
-35,-165,-1315
-208,-357,-1171
-46,-566,-1175
19,-558,-1077
72,-413,-880
21,-179,-698
21,107,-856
9,179,-1079
