x,y,z,
-31,-15,-1056,
52,-60,-1001,
-44,-29,-1020,
101,37,-1022,
37,105,-954,
3,154,-946,
85,144,-1018,
-29,169,-1013,
-19,48,-1015,
-52,9,-1020,
-72,-64,-1073,
25,-169,-1095,
48,-74,-1016,
-3,21,-964,
52,203,-956,
52,226,-936,
-52,201,-1007,
-15,115,-1028,
-62,-121,-1085,
-37,-204,-1095,
40,-183,-1075,
72,46,-981,
-5,267,-894,
60,343,-880,
-99,189,-1013,
-56,-85,-1112,
-25,-304,-1147,
62,-185,-1081,
89,70,-958,
13,407,-847,
-27,392,-895,
-128,21,-1059,
-93,-370,-1266,
134,-366,-1159,
138,111,-870,
56,544,-806,
-54,482,-890,
-187,-134,-1161,
31,-577,-1216,
48,-257,-1128,
154,456,-776,
-58,718,-823,
-74,46,-948,
-46,-569,-1262,
113,-417,-1179,
42,474,-884,
-48,716,-790,
-163,-50,-1042,
-21,-644,-1264,
48,-130,-1054,
-7,718,-772,
19,462,-866,
-216,-569,-1249,
284,-447,-1251,
179,618,-774,
-179,540,-802,
-158,-277,-1342,
140,-591,-1196,
156,443,-772,
0,771,-614,
-144,-489,-1348,
66,-786,-1467,
103,735,-767,
-13,819,-318,
25,-706,-1356,
-48,-681,-1524,
-17,931,-710,
21,583,-400,
-60,-1024,-1485,
93,-267,-1403,
-72,1233,-527,
91,-165,-718,
46,-1011,-1735,
-52,823,-1057,
148,808,-298,
318,-1151,-1327,
-39,-39,-1588,
-597,1356,-552,
177,-513,-679,
144,-751,-1635,
-218,1223,-854,
-119,-130,-538,
134,-964,-1575,
-335,1186,-1208,
17,60,-318,
353,-1175,-1223,
-238,1097,-1303,
-111,204,-661,
472,-1145,-1188,
-163,1303,-1311,
-62,105,-755,
312,-1294,-1071,
-122,1184,-1050,
-197,-35,-938,
411,-847,-1108,
-347,1586,-915,
85,-761,-946,
193,-447,-1147,
-407,1348,-810,
259,-1259,-1061,
119,667,-1018,
-325,776,-798,
433,-1424,-1208,
-337,1532,-901,
-52,-716,-1011,
236,-400,-1243,
-427,1516,-732,
411,-1647,-1163,
-206,1214,-954,
-134,-72,-866,
495,-903,-1260,
-579,1799,-929,
472,-1760,-1216,
-296,1374,-911,
-37,-288,-1046,
283,-638,-1130,
-548,1536,-761,
569,-1832,-1339,
-544,1932,-726,
271,-1358,-1344,
-95,794,-868,
-156,165,-890,
415,-954,-1216,
-560,1850,-642,
691,-2004,-1428,
-636,2231,-628,
538,-1805,-1403,
-234,1424,-724,
21,-640,-1059,
183,234,-1026,
-281,579,-835,
450,-894,-1202,
-489,1360,-663,
550,-1393,-1471,
-589,1782,-612,
583,-1698,-1333,
-515,1717,-687,
447,-1555,-1309,
-380,1571,-702,
359,-1243,-1296,
-273,1262,-874,
232,-1034,-1186,
-162,933,-788,
167,-827,-1298,
-154,895,-833,
175,-655,-1147,
-173,790,-849,
171,-733,-1243,
-171,761,-778,
222,-780,-1290,
-212,796,-765,
201,-737,-1157,
-208,730,-839,
222,-564,-1272,
-242,513,-790,
115,-306,-1098,
-21,204,-929,
-78,109,-1067,
158,-283,-1079,
-296,601,-870,
390,-755,-1173,
-491,966,-733,
523,-862,-1262,
-499,952,-782,
460,-712,-1282,
-407,491,-825,
232,-89,-1136,
29,-208,-1038,
-181,769,-812,
450,-802,-1284,
-612,1095,-712,
605,-874,-1385,
-456,530,-739,
218,-5,-1069,
89,-406,-1104,
-394,921,-808,
493,-880,-1307,
-452,741,-710,
314,-220,-1132,
-42,-265,-1009,
-265,751,-909,
448,-696,-1239,
-425,507,-819,
302,17,-1042,
-42,-407,-1081,
-111,724,-843,
214,-378,-1208,
-171,-23,-1005,
13,501,-936,
144,-515,-1136,
-64,222,-935,
-91,427,-964,
204,-628,-1239,
-175,468,-913,
44,179,-1028,
72,-651,-1218,
-113,573,-772,
3,173,-1081,
187,-780,-1206,
-335,972,-843,
152,-212,-1112,
140,-616,-1061,
-345,1083,-747,
230,-333,-1239,
50,-636,-1073,
-152,1085,-681,
33,-294,-1198,
245,-638,-1089,
-302,1130,-765,
140,-52,-1179,
142,-925,-1161,
-204,833,-702,
62,325,-1069,
165,-853,-1276,
-171,532,-778,
11,716,-970,
101,-890,-1257,
27,-52,-942,
-173,925,-835,
124,-226,-1141,
21,-573,-1128,
-85,759,-878,
-25,208,-1044,
60,-566,-1141,
-31,3,-1005,
-23,642,-921,
58,-144,-1034,
-58,-306,-1032,
42,259,-1005,
-44,384,-1003,
44,-240,-1011,
-33,-263,-1048,
11,255,-977,
-23,126,-950,
15,81,-1056,
-15,-177,-1059,
-80,89,-946,
42,78,-995,
60,111,-999,
56,-140,-1083,
-156,-58,-991,
-87,329,-954,
119,5,-1087,
62,-62,-1013,
-91,-48,-987,
-70,134,-991,
17,206,-1016,
163,-201,-1056,
3,5,-977,
-140,156,-987,
-56,163,-999,
64,78,-1042,
128,-296,-1057,
9,39,-993,
-46,95,-1011,
-99,119,-1009,
-9,191,-1015,
72,-126,-1036,
81,5,-979,
48,17,-1059,
-3,-19,-1013,
-111,109,-1028,
-42,17,-1009,
1,160,-999,
81,93,-1065,
140,-113,-1059,
-44,-62,-1059,
-44,-50,-1009,
-37,201,-970,
-76,208,-1001,
-19,122,-1009,
111,-122,-1052,
15,-13,-1077,
23,-1,-964,
35,40,-991,
-76,119,-1015,
13,46,-1013,
-83,134,-1003,
-158,17,-962,
72,9,-1013,
126,-1,-1052,
89,15,-1044,
72,40,-987,
19,0,-1044,
-46,-80,-1050,
-97,5,-991,
-27,56,-960,
-29,21,-974,
-54,177,-1030,
-13,171,-1007,
23,40,-981,
-31,-117,-1052,
48,29,-1040,
13,78,-999,
87,70,-1013,
60,66,-1104,
115,15,-1054,
-58,-80,-1001,
19,-21,-1028,
-21,-19,-1083,
9,62,-993,
-1,85,-935,
-44,122,-1005,
13,19,-1046,
-111,37,-958,
-19,21,-907,
-23,91,-1036,
13,165,-1009,
-78,99,-962,
0,27,-1011,
-17,19,-1069,
-13,-66,-958,
7,-15,-964,
-11,236,-1048,
-35,74,-1061,
-1,-175,-1007,
9,5,-983,
-117,226,-974,
15,0,-985,
83,-97,-1130,
-56,93,-1042,
-154,138,-890,
-3,91,-970,
99,-13,-1102,
56,-162,-1067,
-113,40,-976,
-160,386,-931,
52,54,-1040,
117,-249,-1139,
23,-124,-993,
-111,97,-972,
-68,347,-915,
-15,156,-1030,
179,-247,-1102,
101,-193,-1149,
-76,138,-954,
-189,175,-921,
3,197,-950,
128,50,-1112,
193,-201,-1128,
-29,-54,-991,
-148,66,-921,
-68,181,-942,
-54,277,-974,
150,-52,-1102,
95,-144,-1106,
87,-64,-997,
-83,-60,-1040,
-154,279,-938,
-158,203,-935,
85,126,-999,
46,19,-1102,
201,-230,-1071,
44,-60,-1075,
23,121,-940,
-169,44,-1011,
-160,226,-962,
-89,-7,-1005,
101,39,-983,
76,64,-1054,
140,-136,-1089,
74,89,-1081,
93,-134,-1038,
-56,44,-962,
-206,42,-958,
-109,115,-1001,
-208,302,-962,
54,-13,-1007,
83,60,-1003,
163,-40,-1046,
107,-113,-1095,
93,74,-1015,
72,-76,-1134,
-11,85,-989,
-107,-74,-989,
-64,37,-958,
-189,148,-960,
-25,97,-968,
-132,247,-1001,
-5,-58,-983,
-33,148,-995,
56,56,-968,
122,70,-1052,
99,64,-1032,
78,13,-1097,
66,-19,-1005,
136,-144,-1134,
72,52,-1013,
60,-68,-1075,
31,33,-1032,
-37,-76,-1122,
11,-11,-976,
-23,-95,-1013,
-7,119,-981,
-66,72,-1067,
-23,74,-989,
-60,-74,-966,
37,13,-968,
-126,124,-1046,
-103,44,-966,
-74,97,-985,
17,19,-958,
-66,83,-970,
-76,31,-981,
-103,136,-1007,
-68,80,-972,
-56,132,-942,
-74,-76,-976,
-33,105,-989,
-70,111,-962,
-72,171,-936,
-35,-35,-1050,
-27,91,-1001,
-29,-74,-966,
-21,111,-962,
-25,64,-1056,
-25,89,-993,
-33,-19,-1005,
74,50,-987,
56,9,-1059,
-7,39,-970,
-52,35,-1108,
44,33,-1028,
-5,13,-1005,
33,-35,-954,
21,150,-1059,
-3,46,-995,
-15,60,-1065,
11,-76,-1032,
-66,80,-962,
17,-58,-1018,
25,181,-1038,
9,-15,-1022,
-23,39,-1005,
7,-70,-1042,
-7,101,-974,
48,54,-1038,
11,15,-1038,
-74,3,-1020,
19,-56,-983,
-35,165,-964,
-9,37,-1030,
17,56,-1104,
9,-76,-929,
17,35,-968,
21,35,-1028,
-29,29,-1028,
-23,91,-1044,
0,7,-997,
-68,23,-991,
146,-48,-1063,
9,44,-993,
54,66,-1079,
-7,25,-1040,
-111,50,-958,
95,3,-1040,
-136,70,-989,
119,54,-1087,
-44,-19,-995,
29,31,-1020,
44,-9,-1028,
-103,91,-948,
37,44,-1095,
-122,39,-1001,
54,-5,-1038,
70,-54,-1030,
3,121,-981,
37,80,-1081,
-126,-17,-970,
42,46,-1048,
-31,9,-921,
113,76,-1065,
-39,60,-1016,
29,3,-1028,
-107,-11,-946,
74,56,-1003,
1,19,-1015,
40,124,-1013,
-13,5,-1044,
-85,9,-997,
-7,-9,-1022,
-21,39,-1011,
130,70,-1061,
-9,35,-1040,
70,-13,-974,
-117,115,-989,
72,91,-1089,
-48,-23,-1028,
-1,42,-1007,
17,-7,-972,
-29,7,-1075,
-46,146,-987,
-19,27,-1075,
29,70,-913,
50,3,-1018,
19,9,-1026,
-56,27,-1042,
-21,126,-1052,
-19,-37,-952,
76,107,-985,
-29,76,-985,
179,39,-1073,
-35,-60,-985,
144,111,-1005,
1,-91,-983,
281,122,-1046,
169,154,-938,
343,-21,-1054,
224,7,-1034,
366,-9,-1048,
400,44,-1073,
333,-66,-1024,
515,150,-1026,
476,0,-995,
685,111,-1059,
460,136,-985,
556,-81,-1063,
683,-83,-1015,
638,9,-966,
694,279,-970,
880,-5,-936,
938,0,-1018,
864,0,-923,
860,-19,-1040,
1130,3,-1034,
899,-11,-952,
1054,76,-976,
1200,115,-970,
1065,78,-1052,
1077,5,-1001,
1138,-76,-1089,
1169,17,-999,
1063,91,-950,
1251,68,-1016,
1179,5,-993,
1180,201,-1013,
1260,-27,-1065,
1220,15,-1024,
1116,-144,-1016,
1110,29,-1067,
1122,271,-985,
1057,105,-960,
1239,21,-1081,
1079,128,-1054,
1132,-25,-1059,
1089,-48,-1024,
1087,-64,-944,
1163,165,-1016,
1120,271,-981,
1157,25,-886,
1270,-99,-1077,
1253,15,-1106,
1200,91,-987,
1350,29,-1054,
1204,-35,-950,
1266,247,-1040,
1190,195,-1063,
1126,-132,-882,
1245,-152,-1104,
1087,46,-966,
1264,208,-966,
1202,115,-1011,
1292,54,-849,
1368,115,-1040,
1325,42,-968,
1329,-74,-976,
1288,-72,-1052,
1188,99,-1001,
1266,201,-1108,
1204,244,-895,
1413,-76,-1024,
1424,40,-1073,
1411,130,-1013,
1333,-40,-1026,
1460,-31,-1098,
1192,70,-1130,
1370,162,-858,
1284,74,-940,
1311,-179,-868,
1268,64,-1038,
1225,275,-1003,
1171,91,-1028,
1368,80,-1102,
1485,95,-1067,
1477,136,-962,
1391,-60,-958,
1469,-290,-958,
1413,78,-1116,
1464,152,-1071,
1376,85,-1036,
1485,54,-1100,
1177,142,-993,
1309,-54,-931,
1124,-185,-892,
1284,-70,-983,
1227,314,-983,
1313,374,-1136,
1473,-89,-946,
1460,-171,-1116,
1481,-25,-769,
1544,195,-995,
1182,189,-1052,
1475,-322,-1177,
1188,171,-1091,
1419,281,-938,
1102,-74,-897,
1473,101,-878,
1194,-37,-1134,
1495,392,-1007,
1237,80,-1054,
1665,-245,-1157,
1221,-99,-903,
1637,-29,-897,
1171,95,-712,
1479,46,-1057,
1153,341,-1241,
1257,267,-1054,
1518,-273,-952,
1239,-234,-993,
1639,146,-880,
1067,-179,-880,
1503,281,-1188,
1331,-42,-1026,
1424,499,-1159,
1380,-267,-716,
1624,99,-968,
1444,46,-954,
1227,349,-1106,
1411,15,-1093,
1389,-148,-1001,
1477,9,-1024,
1138,-277,-862,
1448,251,-974,
1239,216,-1071,
1292,394,-995,
1352,50,-1052,
1352,-29,-1005,
1430,-1,-1067,
1325,-234,-813,
1417,300,-1005,
1674,204,-987,
1333,115,-960,
1514,39,-1173,
1399,146,-1038,
1300,64,-1102,
1227,-247,-970,
1210,-134,-923,
1335,136,-1050,
905,-144,-819,
1573,245,-944,
964,214,-1056,
1411,95,-942,
1260,72,-1005,
1075,44,-1112,
1087,-386,-972,
1057,-29,-933,
843,5,-970,
763,456,-977,
1018,411,-882,
642,-80,-1241,
683,-193,-1110,
739,-158,-772,
786,-44,-839,
605,163,-1239,
591,177,-954,
443,216,-979,
429,83,-1003,
450,-144,-1034,
443,50,-915,
335,251,-913,
122,78,-1198,
472,122,-1128,
187,-126,-989,
208,35,-888,
220,-109,-868,
195,-290,-1141,
156,288,-886,
144,115,-1063,
189,68,-1063,
128,128,-915,
181,-29,-806,
210,17,-679,
320,1,-1007,
89,247,-1122,
232,5,-1157,
288,206,-839,
329,-40,-935,
124,-54,-1009,
183,162,-974,
226,-171,-1046,
124,-27,-901,
191,-117,-819,
89,60,-958,
191,283,-837,
91,148,-1046,
257,76,-1081,
224,-136,-888,
242,-35,-960,
203,203,-979,
281,-160,-1106,
224,-19,-1126,
122,-5,-956,
169,156,-1188,
253,126,-868,
21,121,-905,
167,-240,-1089,
-13,-44,-966,
195,130,-1114,
60,91,-1057,
5,177,-958,
284,35,-681,
146,-91,-1085,
33,62,-1079,
-25,48,-1052,
119,-72,-1100,
19,-44,-1054,
117,-31,-895,
76,230,-835,
150,314,-853,
122,-56,-1208,
0,31,-993,
-46,156,-991,
144,-5,-907,
105,3,-845,
-58,-134,-897,
144,72,-1020,
-15,-72,-1020,
111,54,-1020,
-56,257,-763,
56,111,-936,
-5,-64,-1124,
-33,-349,-1194,
-11,31,-968,
-44,206,-800,
-9,528,-960,
-3,-103,-1114,
-7,29,-1007,
54,-220,-907,
-181,-99,-1118,
89,101,-886,
156,333,-841,
50,183,-1009,
-74,-279,-1290,
-56,156,-929,
206,-152,-942,
3,234,-983,
117,154,-960,
-154,50,-1009,
181,44,-853,
-93,-117,-1175,
78,-222,-991,
-9,81,-769,
-17,33,-917,
-68,329,-1044,
144,62,-993,
91,-142,-1038,
-126,-40,-878,
-17,-66,-1036,
39,-31,-950,
113,327,-1034,
-56,-105,-1036,
-1,224,-862,
249,42,-960,
-35,35,-985,
80,-206,-1106,
-72,-101,-1186,
232,-121,-913,
-54,273,-933,
-44,298,-911,
284,273,-1003,
-25,-23,-1186,
-19,-78,-1024,
-9,-72,-1034,
74,37,-1075,
-111,160,-823,
31,19,-927,
-72,-150,-1065,
103,-52,-1020,
-132,183,-940,
37,44,-981,
-29,-333,-997,
70,44,-1052,
-111,220,-864,
158,81,-1026,
-7,439,-1036,
58,76,-1056,
-25,286,-1003,
-9,-261,-1005,
138,-374,-1192,
68,-251,-831,
-171,-70,-882,
54,368,-1050,
29,302,-1032,
-78,-232,-972,
-1,95,-1034,
9,-72,-974,
107,163,-798,
-193,220,-942,
-115,-117,-1112,
0,3,-1145,
62,-91,-972,
-83,222,-718,
251,152,-827,
-128,138,-925,
-50,-216,-1204,
-111,-368,-1024,
115,-167,-919,
-68,573,-979,
148,189,-858,
72,240,-962,
128,-54,-1050,
-244,44,-1026,
99,-31,-899,
3,-171,-999,
-68,142,-987,
132,-80,-1011,
-56,144,-985,
-101,339,-958,
89,13,-862,
-156,242,-925,
220,-236,-1067,
-226,-255,-1177,
-21,195,-948,
54,-130,-950,
44,407,-913,
124,74,-1013,
-144,181,-1071,
78,-95,-874,
62,-115,-1016,
81,-203,-1079,
-150,-31,-913,
74,83,-876,
-78,89,-1085,
-3,-283,-1009,
-146,128,-995,
52,105,-843,
3,99,-1095,
21,13,-1077,
-245,-335,-1073,
267,249,-929,
-87,284,-1003,
62,443,-977,
-121,-290,-909,
119,-286,-1052,
-66,-64,-874,
-218,281,-923,
160,226,-864,
-81,337,-960,
171,-251,-1026,
-85,-58,-1022,
134,-35,-933,
103,263,-905,
81,218,-1108,
-83,-162,-1231,
58,-339,-1024,
-52,148,-841,
91,191,-897,
-163,265,-936,
95,-201,-853,
-5,-62,-1091,
-138,183,-1022,
89,-35,-786,
-126,-81,-870,
40,-99,-1001,
-37,257,-1015,
66,158,-1020,
54,251,-1016,
247,-156,-1056,
-132,212,-1009,
1,-201,-1028,
25,-74,-1095,
50,-165,-974,
-68,244,-1018,
-95,111,-962,
56,-15,-895,
17,273,-931,
9,-154,-1110,
-48,83,-985,
89,-238,-917,
35,-222,-1063,
-42,454,-1030,
50,-19,-1011,
-115,111,-981,
-1,-384,-972,
-158,220,-974,
37,331,-817,
23,-386,-1159,
29,-206,-1114,
52,17,-1056,
13,296,-876,
156,571,-726,
-93,-70,-935,
37,-240,-1038,
-7,138,-1159,
171,56,-940,
-68,429,-921,
58,-150,-866,
-212,-76,-1007,
31,-91,-979,
-3,126,-940,
-80,337,-790,
-132,81,-987,
179,-31,-1052,
-232,-267,-1057,
11,-163,-821,
0,261,-972,
21,396,-1020,
91,3,-933,
39,-212,-1056,
-31,21,-1087,
-95,228,-995,
148,-310,-825,
50,39,-1057,
-7,-99,-962,
-1,302,-1153,
19,240,-728,
-50,308,-1165,
144,-62,-997,
-179,-121,-1005,
62,-351,-989,
-93,251,-1098,
25,-21,-987,
50,62,-868,
-107,212,-909,
93,-349,-1095,
-121,134,-931,
95,162,-888,
-44,-245,-1018,
56,15,-1132,
5,-9,-1091,
3,292,-925,
9,68,-1028,
-62,-245,-771,
214,177,-878,
-103,-62,-1003,
-33,27,-1212,
-62,-277,-1022,
158,85,-935,
-132,177,-753,
15,337,-1026,
-66,-37,-952,
29,-40,-956,
-109,169,-985,
-64,126,-993,
101,-13,-1016,
-31,-37,-929,
-142,-121,-917,
-27,146,-993,
-13,201,-993,
-48,-83,-843,
-60,187,-995,
105,-169,-1016,
-48,-322,-1175,
68,218,-849,
-33,464,-806,
-64,-101,-1052,
-81,-273,-1177,
121,-214,-1018,
-25,216,-946,
-142,378,-983,
122,-78,-999,
-197,-109,-979,
286,-80,-1052,
-236,-134,-870,
195,230,-1032,
3,85,-944,
66,318,-1059,
-142,-54,-919,
130,-136,-1124,
48,-35,-890,
9,130,-985,
89,13,-1093,
1,9,-1044,
89,-9,-966,
-121,234,-897,
130,64,-985,
-181,11,-968,
136,-530,-1145,
-185,-25,-1063,
228,271,-942,
-66,546,-899,
132,247,-899,
-136,-273,-1124,
-40,109,-981,
126,-81,-1059,
-101,93,-755,
-23,-107,-919,
-214,0,-1003,
78,-115,-892,
-111,415,-1056,
76,-44,-1065,
-105,99,-991,
13,163,-976,
-66,-119,-968,
169,31,-1116,
-163,-13,-817,
103,128,-1007,
-173,-85,-1009,
91,-107,-1153,
-58,124,-886,
-25,236,-878,
58,-95,-970,
-13,13,-1052,
124,-37,-983,
-11,-160,-962,
-19,267,-819,
33,-25,-952,
101,113,-1018,
-35,199,-976,
-83,-220,-1057,
-21,-222,-1057,
-31,128,-923,
56,64,-880,
42,378,-925,
97,66,-1149,
144,134,-1032,
-56,292,-895,
-80,-148,-925,
140,-345,-1042,
-7,-93,-985,
-23,140,-749,
-31,-33,-1022,
228,99,-1106,
-107,372,-831,
48,-29,-1020,
-109,9,-999,
54,-85,-1030,
-286,-29,-868,
105,179,-913,
-140,-33,-921,
58,-5,-1003,
-101,-150,-997,
-80,253,-876,
-72,-91,-929,
39,81,-1022,
-56,-177,-1009,
281,66,-1003,
-121,251,-966,
74,478,-913,
101,56,-1118,
-68,-60,-1026,
119,-44,-1030,
-124,-175,-907,
-11,93,-1093,
-68,119,-993,
-107,-333,-936,
81,33,-948,
56,-35,-876,
-44,573,-979,
62,46,-958,
-81,-95,-1083,
197,-298,-923,
-99,232,-1241,
-15,109,-786,
62,203,-1022,
23,56,-933,
76,-478,-1216,
-66,242,-878,
-29,-31,-890,
-7,89,-1034,
64,-85,-1110,
191,-191,-894,
-1,257,-874,
-33,363,-1104,
97,349,-979,
50,-3,-944,
-44,-460,-1052,
46,-70,-1218,
-101,195,-718,
-58,238,-935,
-101,-329,-944,
-40,-195,-1124,
33,103,-765,
-152,491,-1007,
-21,347,-894,
17,-195,-1245,
-154,-445,-935,
181,50,-972,
-89,277,-987,
62,302,-1005,
-60,-115,-1009,
183,-238,-843,
-48,113,-1118,
11,-87,-968,
-81,64,-983,
255,76,-890,
-212,224,-1015,
17,204,-1042,
56,191,-962,
17,-46,-972,
-7,101,-925,
50,-122,-1011,
93,-83,-1069,
-160,175,-964,
19,-85,-870,
83,70,-1022,
42,-130,-1052,
33,224,-755,
-189,474,-870,
54,-25,-1141,
5,-493,-1134,
201,-236,-938,
-245,353,-876,
103,187,-1069,
56,187,-1040,
-23,-242,-976,
-31,-154,-1104,
179,56,-985,
-15,201,-1022,
-187,56,-919,
-25,35,-1009,
81,101,-835,
-68,-13,-1009,
152,-48,-1083,
-255,335,-1028,
136,296,-843,
33,-277,-997,
17,-245,-952,
68,35,-999,
-33,-101,-925,
-81,333,-1040,
249,-124,-927,
-128,187,-815,
-9,-27,-950,
-60,89,-979,
197,-277,-993,
-263,-1,-995,
-66,-13,-1167,
70,300,-823,
19,87,-1011,
-40,80,-964,
-304,101,-936,
253,-255,-585,
-195,201,-956,
288,-91,-913,
-296,245,-1134,
101,68,-808,
-46,277,-854,
341,-255,-923,
-199,1,-1075,
-3,62,-862,
142,56,-1057,
89,9,-1100,
-56,-64,-991,
27,-3,-1022,
304,130,-1056,
-201,443,-962,
-37,-25,-890,
-15,-160,-974,
212,-452,-995,
-183,-68,-1067,
247,27,-870,
-271,466,-1036,
101,150,-974,
-113,-406,-1018,
-78,351,-823,
76,-60,-1167,
-70,306,-1007,
-111,-122,-979,
169,-31,-1038,
-99,-13,-749,
101,290,-964,
-81,-66,-1067,
0,56,-1077,
-3,177,-872,
56,-105,-936,
64,140,-1204,
66,-220,-962,
-122,183,-894,
56,99,-936,
-40,-68,-1081,
-95,74,-972,
74,136,-909,
-167,54,-919,
126,-327,-1056,
42,-44,-1052,
-197,251,-905,
33,359,-979,
87,44,-841,
-7,-245,-1057,
-50,37,-880,
101,-60,-1046,
-19,169,-977,
21,-222,-1208,
0,-5,-901,
154,292,-938,
23,462,-968,
-17,-5,-1110,
44,-325,-968,
154,327,-921,
76,-101,-884,
-52,-3,-1106,
-21,-236,-1065,
-83,113,-913,
-109,74,-1075,
89,146,-880,
56,355,-1009,
-171,230,-872,
-111,-327,-946,
113,-324,-995,
-113,265,-1114,
113,115,-903,
-105,181,-767,
80,-222,-1065,
74,-273,-1216,
-138,132,-886,
199,212,-755,
-37,290,-1264,
64,-216,-1212,
-111,64,-946,
89,111,-776,
-66,222,-1091,
-154,113,-1050,
-44,-103,-788,
64,103,-1024,
-130,-119,-1106,
0,-56,-936,
87,15,-730,
-83,165,-929,
-70,-64,-1179,
109,216,-1050,
-85,478,-720,
87,-126,-718,
11,-234,-1264,
97,-527,-1091,
-199,343,-954,
242,489,-870,
-21,95,-1038,
-101,-308,-853,
25,-76,-962,
93,-81,-993,
80,370,-774,
-33,-1,-917,
-27,-40,-1081,
46,-206,-1013,
66,458,-983,
-78,99,-1061,
13,-70,-1073,
-78,1,-897,
33,-78,-1054,
-19,191,-804,
-52,-177,-1018,
-9,-23,-1089,
11,111,-858,
130,-39,-911,
-74,427,-1005,
119,345,-925,
40,-169,-946,
25,-540,-1071,
5,13,-940,
64,277,-964,
-68,0,-1009,
-89,-54,-1167,
-126,-72,-933,
3,152,-892,
253,345,-849,
-140,21,-1034,
70,-296,-1013,
-191,156,-913,
122,5,-884,
78,74,-960,
-199,134,-1083,
39,-388,-1073,
39,357,-884,
27,-3,-897,
-99,-42,-1102,
-144,-56,-972,
187,31,-1024,
-99,226,-808,
99,-281,-987,
-52,281,-977,
-23,105,-960,
-234,0,-882,
-72,-392,-1011,
-300,203,-1073,
101,189,-989,
-404,212,-976,
-89,9,-1069,
-191,-5,-886,
-76,-76,-1013,
-232,366,-968,
-163,-324,-983,
-253,-150,-999,
-566,121,-901,
-550,-56,-1079,
-864,122,-977,
-13,107,-827,
-1604,197,-1512,
-976,25,-897,
-1489,-50,-868,
-995,-460,-876,
-1840,341,-894,
-1270,359,-890,
-1672,-216,-1013,
-1413,-482,-1048,
-1659,343,-929,
-1348,601,-739,
-1339,-257,-757,
-1393,-296,-1007,
-1122,95,-1042,
-1506,251,-1036,
-894,-62,-1007,
-1389,-105,-1323,
-1237,85,-1147,
-1118,-208,-825,
-862,101,-1194,
-841,-64,-1153,
-1147,616,-888,
-741,-398,-751,
-999,-351,-1167,
-759,113,-913,
-1005,515,-1030,
-689,-17,-1122,
-1108,-509,-1188,
-687,-56,-831,
-993,958,-1007,
-825,-179,-1130,
-1132,-183,-851,
-905,-411,-794,
-1282,310,-1024,
-1177,64,-1013,
-1337,-83,-958,
-1177,-249,-1056,
-1401,566,-1018,
-1370,113,-663,
-1421,-27,-892,
-1177,-244,-1147,
-1325,261,-976,
-1544,-25,-1171,
-1450,-185,-1130,
-1413,-150,-1218,
-1389,429,-886,
-1559,206,-1016,
-1360,-294,-894,
-1317,-126,-1175,
-1405,610,-1108,
-1288,-355,-999,
-1366,-58,-1153,
-829,-402,-925,
-1434,519,-962,
-1091,-156,-985,
-1171,-27,-1294,
-1022,-99,-1110,
-1311,605,-1054,
-1145,-19,-1112,
-1223,-238,-1001,
-1251,-269,-853,
-1290,271,-923,
-1526,-72,-1071,
-1255,-33,-825,
-1495,-81,-1116,
-1305,443,-1030,
-1608,-167,-921,
-1454,404,-806,
-1536,-232,-1102,
-1395,-37,-1050,
-1542,81,-1081,
-1413,-70,-997,
-1352,-298,-1198,
-1446,68,-977,
-1337,222,-991,
-1465,263,-851,
-1342,-359,-1020,
-1577,245,-946,
-1280,160,-1079,
-1370,-119,-1136,
-1200,-210,-1214,
-1438,460,-1106,
-1342,44,-866,
-1229,-251,-831,
-1018,-212,-1022,
-1368,365,-958,
-1274,199,-1015,
-1350,-245,-1184,
-1075,-462,-1180,
-1510,653,-1005,
-1122,-35,-874,
-1352,-40,-858,
-1120,-357,-972,
-1583,382,-1063,
-1364,152,-1046,
-1225,-224,-1028,
-1188,-99,-1112,
-1450,277,-1050,
-1342,93,-1030,
-1327,-228,-977,
-1344,-339,-1052,
-1555,556,-956,
-1452,-91,-1018,
-1524,-76,-1081,
-1462,-259,-1132,
-1602,546,-983,
-1372,-19,-909,
-1514,-70,-1052,
-1139,-351,-1147,
-1583,507,-1102,
-1294,0,-942,
-1602,-128,-1016,
-1151,-470,-1116,
-1465,710,-948,
-1382,56,-948,
-1446,-292,-1069,
-1235,-189,-1159,
-1368,536,-1028,
-1385,91,-1005,
-1300,-244,-946,
-1210,-238,-1005,
-1387,589,-895,
-1411,-25,-995,
-1311,-327,-1057,
-1313,-284,-1157,
-1411,694,-960,
-1366,95,-942,
-1237,-283,-1083,
-1192,-288,-1091,
-1301,466,-931,
-1301,111,-880,
-1095,-126,-966,
-907,-443,-1204,
-1202,583,-1003,
-1126,-54,-958,
-997,-81,-1054,
-792,-245,-1237,
-936,505,-1016,
-899,-31,-985,
-815,-165,-1042,
-755,-183,-1100,
-843,433,-964,
-817,44,-1013,
-683,-257,-1016,
-616,-171,-1149,
-710,513,-936,
-583,5,-962,
-505,-162,-1081,
-398,-216,-1083,
-491,425,-792,
-415,-54,-913,
-353,-130,-1102,
-335,-66,-1159,
-376,359,-948,
-376,62,-950,
-208,-109,-1061,
-156,-50,-1134,
-281,286,-901,
-244,-70,-917,
-175,-89,-1005,
-138,-101,-1093,
-189,214,-950,
-197,9,-1036,
-150,13,-1046,
-160,72,-1081,
-126,204,-999,
-206,-23,-1071,
